BlockID,FemaleID,MaleID,QG_Meth,Cross_ID_auto,DateCross,TimeCross,DateMethFreeze,TimeMethFreeze,Notes,DatetimeCross,DatetimeFreeze,LarvaeDNAAge_hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF01_B1,CM01_B1,Meth,CF01_CM01_B1_Meth,20180710,12:24,20180710,20:30,"mistake with filter tip, may have added too little or too much sperm",7/10/2018 12:24:00,7/10/2018 20:30:00,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF01_B1,CM01_B1,QG,CF01_CM01_B1_QG,20180710,12:14,20180710,20:30,combined with meth sample,7/10/2018 12:14:00,7/10/2018 20:30:00,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF01_B1,CM02_B1,QG,CF01_CM02_B1_QG,20180710,12:28,20180713,17:00,,7/10/2018 12:28:00,7/13/2018 17:00:00,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF01_B1,CM03_B1,QG,CF01_CM03_B1_QG,20180710,12:35,20180713,17:00,,7/10/2018 12:35:00,7/13/2018 17:00:00,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF02_B1,CM02_B1,Meth,CF02_CM02_B1_Meth,20180710,12:32,20180710,20:30,,7/10/2018 12:32:00,7/10/2018 20:30:00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF02_B1,CM02_B1,QG,CF02_CM02_B1_QG,20180710,12:28,20180710,20:30,combined with meth sample,7/10/2018 12:28:00,7/10/2018 20:30:00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF02_B1,CM03_B1,QG,CF02_CM03_B1_QG,20180710,12:35,20180713,17:00,,7/10/2018 12:35:00,7/13/2018 17:00:00,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF02_B1,CM04_B1,QG,CF02_CM04_B1_QG,20180710,12:40,20180713,17:00,,7/10/2018 12:40:00,7/13/2018 17:00:00,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF03_B1,CM03_B1,Meth,CF03_CM03_B1_Meth,20180710,12:36,20180710,20:30,,7/10/2018 12:36:00,7/10/2018 20:30:00,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF03_B1,CM03_B1,QG,CF03_CM03_B1_QG,20180710,12:36,20180710,20:30,combined with meth sample,7/10/2018 12:36:00,7/10/2018 20:30:00,7.9,,,,,,,,,,,,,,,,,,,,EF1,EF2,EF3,EF4,EF5,EF6,EF7,EF8,CF1,CF2,CF3,CF4,CF5,CF6,CF7,CF8
B1,CF03_B1,CM04_B1,QG,CF03_CM04_B1_QG,20180710,12:40,20180713,17:00,,7/10/2018 12:40:00,7/13/2018 17:00:00,76.3,,,,,,,,,,,,,,,,,,,EM1,X+,,,,,,,,X,,,,,,,
B1,CF03_B1,CM05_B1,QG,CF03_CM05_B1_QG,20180710,12:43,20180713,17:00,,7/10/2018 12:43:00,7/13/2018 17:00:00,76.3,,,,,,,,,,,,,,,,,,,EM2,,X+,,,,,,,,X,,,,,,
B1,CF04_B1,CM01_B1,QG,CF04_CM01_B1_QG,20180710,12:15,20180713,17:00,,7/10/2018 12:15:00,7/13/2018 17:00:00,76.8,,,,,,,,,,,,,,,,,,,EM3,,,X+,,,,,,,,X,,,,,
B1,CF04_B1,CM04_B1,Meth,CF04_CM04_B1_Meth,20180710,12:40,20180710,20:30,"cell strainer filter for methylation may be contaminated, bag exploded.",7/10/2018 12:40:00,7/10/2018 20:30:00,7.8,,,,,,,,,,,,,,,,,,,EM4,,,,X+,,,,,,,,X,,,,
B1,CF04_B1,CM04_B1,QG,CF04_CM04_B1_QG,20180710,12:40,20180710,20:30,combined with meth sample,7/10/2018 12:40:00,7/10/2018 20:30:00,7.8,,,,,,,,,,,,,,,,,,,EM5,,,,,X+,,,,,,,,X,,,
B1,CF04_B1,CM05_B1,QG,CF04_CM05_B1_QG,20180710,12:43,20180713,17:00,,7/10/2018 12:43:00,7/13/2018 17:00:00,76.3,,,,,,,,,,,,,,,,,,,EM6,,,,,,X,,,,,,,,X,,
B1,CF05_B1,CM01_B1,QG,CF05_CM01_B1_QG,20180710,12:12,20180713,17:00,,7/10/2018 12:12:00,7/13/2018 17:00:00,76.8,,,,,,,,,,,,,,,,,,,EM7,,,,,,,x,,,,,,,,x,
B1,CF05_B1,CM02_B1,QG,CF05_CM02_B1_QG,20180710,12:27,20180713,17:00,,7/10/2018 12:27:00,7/13/2018 17:00:00,76.5,,,,,,,,,,,,,,,,,,,EM8,,,,,,,,x,,,,,,,,x
B1,CF05_B1,CM05_B1,Meth,CF05_CM05_B1_Meth,20180710,12:44,20180710,20:30,,7/10/2018 12:44:00,7/10/2018 20:30:00,7.8,,,,,,,,,,,,,,,,,,,CM1,X,,,,,,,,X+,,,,,,,
B1,CF05_B1,CM05_B1,QG,CF05_CM05_B1_QG,20180710,12:43,20180710,20:30,combined with meth sample,7/10/2018 12:43:00,7/10/2018 20:30:00,7.8,,,,,,,,,,,,,,,,,,,CM2,,X,,,,,,,,X+,,,,,,
B1,CF06_B1,CM01_B1,Meth,CF06_CM01_B1_Meth,20180710,12:23,20180710,20:30,,7/10/2018 12:23:00,7/10/2018 20:30:00,8.1,,,,,,,,,,,,,,,,,,,CM3,,,X,,,,,,,,X+,,,,,
B1,CF06_B1,CM01_B1,QG,CF06_CM01_B1_QG,20180710,12:13,20180710,20:30,combined with meth sample,7/10/2018 12:13:00,7/10/2018 20:30:00,8.3,,,,,,,,,,,,,,,,,,,CM4,,,,X,,,,,,,,X+,,,,
B1,CF06_B1,CM02_B1,QG,CF06_CM02_B1_QG,20180710,12:31,20180713,17:00,,7/10/2018 12:31:00,7/13/2018 17:00:00,76.5,,,,,,,,,,,,,,,,,,,CM5,,,,,X,,,,,,,,X+,,,
B1,CF06_B1,CM03_B1,QG,CF06_CM03_B1_QG,20180710,12:35,20180713,17:00,,7/10/2018 12:35:00,7/13/2018 17:00:00,76.4,,,,,,,,,,,,,,,,,,,CM6,,,,,,X,,,,,,,,X,,
B1,CF07_B1,CM02_B1,Meth,CF07_CM02_B1_Meth,20180710,12:33,20180710,20:30,,7/10/2018 12:33:00,7/10/2018 20:30:00,7.9,,,,,,,,,,,,,,,,,,,CM7,,,,,,,x,,,,,,,,x,
B1,CF07_B1,CM02_B1,QG,CF07_CM02_B1_QG,20180710,12:31,20180710,20:30,combined with meth sample,7/10/2018 12:31:00,7/10/2018 20:30:00,8,,,,,,,,,,,,,,,,,,,CM8,,,,,,,,x,,,,,,,,x
B1,CF07_B1,CM03_B1,QG,CF07_CM03_B1_QG,20180710,12:35,20180713,17:00,,7/10/2018 12:35:00,7/13/2018 17:00:00,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF07_B1,CM04_B1,QG,CF07_CM04_B1_QG,20180710,12:40,20180713,17:00,,7/10/2018 12:40:00,7/13/2018 17:00:00,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF08_B1,CM03_B1,Meth,CF08_CM03_B1_Meth,20180710,12:37,20180710,20:30,,7/10/2018 12:37:00,7/10/2018 20:30:00,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF08_B1,CM03_B1,QG,CF08_CM03_B1_QG,20180710,12:36,20180710,20:30,combined with meth sample,7/10/2018 12:36:00,7/10/2018 20:30:00,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF08_B1,CM04_B1,QG,CF08_CM04_B1_QG,20180710,12:40,20180713,17:00,,7/10/2018 12:40:00,7/13/2018 17:00:00,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF08_B1,CM05_B1,QG,CF08_CM05_B1_QG,20180710,12:43,20180713,17:00,,7/10/2018 12:43:00,7/13/2018 17:00:00,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF01_B1,EM01_B1,Meth,EF01_EM01_B1_Meth,20180710,11:46,20180710,20:30,,7/10/2018 11:46:00,7/10/2018 20:30:00,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF01_B1,EM01_B1,QG,EF01_EM01_B1_QG,20180710,11:30,20180710,20:30,combined with meth sample,7/10/2018 11:30:00,7/10/2018 20:30:00,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF01_B1,EM02_B1,QG,EF01_EM02_B1_QG,20180710,11:41,20180713,17:00,,7/10/2018 11:41:00,7/13/2018 17:00:00,77.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF01_B1,EM03_B1,QG,EF01_EM03_B1_QG,20180710,11:53,20180713,17:00,,7/10/2018 11:53:00,7/13/2018 17:00:00,77.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF02_B1,EM02_B1,Meth,EF02_EM02_B1_Meth,20180710,11:44,20180710,20:30,,7/10/2018 11:44:00,7/10/2018 20:30:00,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF02_B1,EM02_B1,QG,EF02_EM02_B1_QG,20180710,11:41,20180710,20:30,combined with meth sample,7/10/2018 11:41:00,7/10/2018 20:30:00,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF02_B1,EM03_B1,QG,EF02_EM03_B1_QG,20180710,11:52,20180713,17:00,,7/10/2018 11:52:00,7/13/2018 17:00:00,77.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF02_B1,EM04_B1,QG,EF02_EM04_B1_QG,20180710,12:02,20180713,17:00,,7/10/2018 12:02:00,7/13/2018 17:00:00,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF03_B1,EM03_B1,Meth,EF03_EM03_B1_Meth,20180710,11:54,20180710,20:30,,7/10/2018 11:54:00,7/10/2018 20:30:00,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF03_B1,EM03_B1,QG,EF03_EM03_B1_QG,20180710,11:52,20180710,20:30,combined with meth sample,7/10/2018 11:52:00,7/10/2018 20:30:00,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF03_B1,EM04_B1,QG,EF03_EM04_B1_QG,20180710,12:02,20180713,17:00,,7/10/2018 12:02:00,7/13/2018 17:00:00,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF03_B1,EM05_B1,QG,EF03_EM05_B1_QG,20180710,12:16,20180713,17:00,,7/10/2018 12:16:00,7/13/2018 17:00:00,76.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF04_B1,EM04_B1,Meth,EF04_EM04_B1_Meth,20180710,12:04,20180710,20:30,,7/10/2018 12:04:00,7/10/2018 20:30:00,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF04_B1,EM04_B1,QG,EF04_EM04_B1_QG,20180710,12:02,20180710,20:30,combined with meth sample,7/10/2018 12:02:00,7/10/2018 20:30:00,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF04_B1,EM05_B1,QG,EF04_EM05_B1_QG,20180710,12:17,20180713,17:00,,7/10/2018 12:17:00,7/13/2018 17:00:00,76.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF04_B1,EM06_B1,QG,EF04_EM06_B1_QG,20180710,12:29,20180713,17:00,,7/10/2018 12:29:00,7/13/2018 17:00:00,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF05_B1,EM01_B1,QG,EF05_EM01_B1_QG,20180710,11:30,20180713,17:00,,7/10/2018 11:30:00,7/13/2018 17:00:00,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF05_B1,EM05_B1,Meth,EF05_EM05_B1_Meth,20180710,12:17,20180710,20:30,,7/10/2018 12:17:00,7/10/2018 20:30:00,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF05_B1,EM05_B1,QG,EF05_EM05_B1_QG,20180710,12:14,20180710,20:30,combined with meth sample,7/10/2018 12:14:00,7/10/2018 20:30:00,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF05_B1,EM06_B1,QG,EF05_EM06_B1_QG,20180710,12:29,20180713,17:00,,7/10/2018 12:29:00,7/13/2018 17:00:00,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF06_B1,EM01_B1,QG,EF06_EM01_B1_QG,20180710,11:30,20180713,17:00,,7/10/2018 11:30:00,7/13/2018 17:00:00,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF06_B1,EM02_B1,QG,EF06_EM02_B1_QG,20180710,11:41,20180713,17:00,,7/10/2018 11:41:00,7/13/2018 17:00:00,77.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF06_B1,EM06_B1,Meth,EF06_EM06_B1_Meth,20180710,12:30,20180713,17:00,,7/10/2018 12:30:00,7/13/2018 17:00:00,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF06_B1,EM06_B1,QG,EF06_EM06_B1_QG,20180710,12:30,20180710,20:30,combined with meth sample,7/10/2018 12:30:00,7/10/2018 20:30:00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF07_B1,EM01_B1,Meth,EF07_EM01_B1_Meth,20180710,11:46,20180710,20:30,,7/10/2018 11:46:00,7/10/2018 20:30:00,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF07_B1,EM01_B1,QG,EF07_EM01_B1_QG,20180710,11:30,20180710,20:30,combined with meth sample,7/10/2018 11:30:00,7/10/2018 20:30:00,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF07_B1,EM02_B1,QG,EF07_EM02_B1_QG,20180710,11:42,20180713,17:00,,7/10/2018 11:42:00,7/13/2018 17:00:00,77.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF07_B1,EM03_B1,QG,EF07_EM03_B1_QG,20180710,11:54,20180713,17:00,,7/10/2018 11:54:00,7/13/2018 17:00:00,77.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF08_B1,EM02_B1,Meth,EF08_EM02_B1_Meth,20180710,11:44,20180710,20:30,,7/10/2018 11:44:00,7/10/2018 20:30:00,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF08_B1,EM02_B1,QG,EF08_EM02_B1_QG,20180710,11:42,20180710,20:30,combined with meth sample,7/10/2018 11:42:00,7/10/2018 20:30:00,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF08_B1,EM03_B1,QG,EF08_EM03_B1_QG,20180710,11:53,20180713,17:00,,7/10/2018 11:53:00,7/13/2018 17:00:00,77.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF08_B1,EM04_B1,QG,EF08_EM04_B1_QG,20180710,12:00,20180713,17:00,,7/10/2018 12:00:00,7/13/2018 17:00:00,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,