Block_ID,Adult_ID,Parent_Treatment_Auto,Sex,Ooze,Sperm_activity,Parent_BlockID,Time_GametesStripped,Time_SampGonad,Gonad_DNA,Gonad_amount,Gonad_DNA_ID_Auto,Gamete_Sample,Gamete_Sample_ID_Auto,Mantle_DNA,Mantle_DNA_ID_Auto,Date_SampGonadMantle,Notes
B1,L18A0001,Treatment,F,FALSE,NA,NA,NA,15:05,TRUE,normal,L18A0001g,FALSE,NA,TRUE,L18A0001m,20180710,
B1,L18A0002,Treatment,F,TRUE,inactive,NA,NA,14:12,TRUE,normal,L18A0002g,FALSE,NA,TRUE,L18A0002m,20180710,
B1,L18A0003,Treatment,F,FALSE,NA,EF06_B1,10:58,12:44,TRUE,normal,L18A0003g,TRUE,L18A0003_eggs,TRUE,L18A0003m,20180710,
B1,L18A0004,Treatment,M,FALSE,inactive,NA,NA,15:01,TRUE,normal,L18A0004g,FALSE,NA,TRUE,L18A0004m,20180710,
B1,L18A0005,Treatment,M,FALSE,inactive,NA,NA,14:31,FALSE,NA,NA,FALSE,NA,TRUE,L18A0005m,20180710,
B1,L18A0006,Treatment,M,TRUE,active,CM02_B1,12:13,14:16,TRUE,normal,L18A0006g,TRUE,L18A0006_sperm,TRUE,L18A0006m,20180710,
B1,L18A0007,Treatment,M,FALSE,active,CM01_B1,12:01,14:15,TRUE,normal,L18A0007g,TRUE,L18A0007_sperm,TRUE,L18A0007m,20180710,
B1,L18A0008,Treatment,F,TRUE,NA,NA,NA,14:31,TRUE,normal,L18A0008g,FALSE,NA,TRUE,L18A0008m,20180710,
B1,L18A0009,Treatment,M,TRUE,active,EM02_B1,11:37,13:45,TRUE,normal,L18A0009g,TRUE,L18A0009_sperm,TRUE,L18A0009m,20180710,
B1,L18A0010,Treatment,F,FALSE,NA,NA,NA,14:44,TRUE,normal,L18A0010g,FALSE,NA,TRUE,L18A0010m,20180710,
B1,L18A0011,Treatment,M,FALSE,inactive,NA,NA,14:24,TRUE,normal,L18A0011g,FALSE,NA,TRUE,L18A0011m,20180710,
B1,L18A0012,Treatment,M,FALSE,active,EM05_B1,12:08,13:56,TRUE,normal,L18A0012g,TRUE,L18A0012_sperm,TRUE,L18A0012m,20180710,
B1,L18A0013,Treatment,M,FALSE,active,CM04_B1,12:32,14:15,TRUE,low,L18A0013g,TRUE,L18A0013_sperm,TRUE,L18A0013m,20180710,
B1,L18A0014,Treatment,F,FALSE,NA,NA,NA,14:16,TRUE,normal,L18A0014g,FALSE,NA,TRUE,L18A0014m,20180710,
B1,L18A0015,Treatment,F,TRUE,inactive,NA,NA,12:13,TRUE,normal,L18A0015g,FALSE,NA,TRUE,L18A0015m,20180710,
B1,L18A0016,Treatment,F,TRUE,NA,CF05_B1,11:29,13:13,TRUE,normal,L18A0016g,TRUE,L18A0016_eggs,TRUE,L18A0016m,20180710,
B1,L18A0017,Treatment,F,TRUE,NA,NA,NA,14:23,TRUE,normal,L18A0017g,FALSE,NA,TRUE,L18A0017m,20180710,
B1,L18A0018,Treatment,M,FALSE,inactive,NA,NA,14:33,TRUE,normal,L18A0018g,FALSE,NA,TRUE,L18A0018m,20180710,
B1,L18A0019,Treatment,F,TRUE,NA,CF08_B1,10:20,12:57,TRUE,normal,L18A0019g,TRUE,L18A0019_eggs,TRUE,L18A0019m,20180710,
B1,L18A0020,Treatment,M,TRUE,inactive,NA,NA,14:47,TRUE,normal,L18A0020g,FALSE,NA,TRUE,L18A0020m,20180710,
B1,L18A0021,Treatment,M,FALSE,NA,NA,NA,11:54,TRUE,normal,L18A0021g,FALSE,NA,TRUE,L18A0021m,20180710,
B1,L18A0022,Treatment,F,FALSE,NA,EF02_B1,10:16,13:19,TRUE,normal,L18A0022g,TRUE,L18A0022_eggs,TRUE,L18A0022m,20180710,
B1,L18A0023,Treatment,M,FALSE,active,EM04_B1,11:57,13:34,TRUE,normal,L18A0023g,TRUE,L18A0023_sperm,TRUE,L18A0023m,20180710,
B1,L18A0024,Treatment,M,TRUE,inactive,NA,NA,14:21,TRUE,normal,L18A0024g,FALSE,NA,TRUE,L18A0024m,20180710,
B1,L18A0025,Treatment,M,TRUE,inactive,NA,NA,14:03,TRUE,normal,L18A0025g,FALSE,NA,TRUE,L18A0025m,20180710,
B1,L18A0026,Treatment,F,FALSE,NA,NA,NA,NA,NA,NA,#VALUE!,FALSE,NA,TRUE,L18A0026m,20180710,
B1,L18A0027,Treatment,F,FALSE,NA,NA,NA,14:37,TRUE,normal,L18A0027g,FALSE,NA,TRUE,L18A0027m,20180710,
B1,L18A0028,Treatment,M,TRUE,inactive,NA,NA,12:09,TRUE,normal,L18A0028g,FALSE,NA,TRUE,L18A0028m,20180710,
B1,L18A0029,Treatment,F,FALSE,NA,EF07_B1,10:40,12:56,TRUE,normal,L18A0029g,TRUE,L18A0029_eggs,TRUE,L18A0029m,20180710,
B1,L18A0030,Treatment,F,FALSE,NA,NA,NA,14:40,TRUE,normal,L18A0030g,FALSE,NA,TRUE,L18A0030m,20180710,
B1,L18A0031,Treatment,M,FALSE,active,EM06_B1,12:20,13:54,TRUE,normal,L18A0031g,TRUE,L18A0031_sperm,TRUE,L18A0031m,20180710,
B1,L18A0032,Treatment,F,TRUE,NA,NA,NA,14:43,TRUE,normal,L18A0032g,FALSE,NA,TRUE,L18A0032m,20180710,
B1,L18A0033,Treatment,M,FALSE,inactive,NA,NA,14:31,TRUE,normal,L18A0033g,FALSE,NA,TRUE,L18A0033m,20180710,
B1,L18A0034,Treatment,F,TRUE,NA,NA,NA,14:59,TRUE,normal,L18A0034g,FALSE,NA,TRUE,L18A0034m,20180710,
B1,L18A0035,Treatment,F,FALSE,NA,EF08_B1,10:19,13:02,TRUE,normal,L18A0035g,TRUE,L18A0035_eggs,TRUE,L18A0035m,20180710,
B1,L18A0036,Treatment,F,TRUE,NA,EF05_B1,10:49,12:50,TRUE,normal,L18A0036g,TRUE,L18A0036_eggs,TRUE,L18A0036m,20180710,
B1,L18A0037,Treatment,F,TRUE,NA,NA,NA,14:45,TRUE,normal,L18A0037g,FALSE,NA,TRUE,L18A0037m,20180710,
B1,L18A0038,Treatment,F,FALSE,NA,NA,NA,14:35,TRUE,normal,L18A0038g,FALSE,NA,TRUE,L18A0038m,20180710,
B1,L18A0039,Treatment,F,TRUE,NA,CF06_B1,11:12,13:25,TRUE,normal,L18A0039g,TRUE,L18A0039_eggs,TRUE,L18A0039m,20180710,
B1,L18A0040,Treatment,M,FALSE,inactive,NA,NA,14:56,FALSE,NA,NA,FALSE,NA,TRUE,L18A0040m,20180710,
B1,L18A0041,Treatment,F,TRUE,NA,EF03_B1,10:25,13:30,TRUE,normal,L18A0041g,TRUE,L18A0041_eggs,TRUE,L18A0041m,20180710,
B1,L18A0042,Treatment,M,TRUE,inactive,NA,NA,14:34,FALSE,NA,NA,FALSE,NA,TRUE,L18A0042m,20180710,
B1,L18A0043,Treatment,I,NA,NA,NA,NA,15:09,FALSE,NA,NA,FALSE,NA,TRUE,L18A0043m,20180710,
B1,L18A0044,Treatment,F,FALSE,NA,CF03_B1,10:31,12:33,TRUE,normal,L18A0044g,TRUE,L18A0044_eggs,TRUE,L18A0044m,20180710,
B1,L18A0045,Treatment,F,FALSE,NA,NA,NA,12:03,TRUE,normal,L18A0045g,FALSE,NA,TRUE,L18A0045m,20180710,
B1,L18A0046,Treatment,M,FALSE,inactive,NA,NA,12:00,TRUE,normal,L18A0046g,FALSE,NA,TRUE,L18A0046m,20180710,
B1,L18A0047,Treatment,M,FALSE,inactive,NA,NA,15:12,TRUE,normal,L18A0047g,FALSE,NA,TRUE,L18A0047m,20180710,
B1,L18A0048,Treatment,M,TRUE,active,EM03_B1,11:49,13:43,TRUE,normal,L18A0048g,TRUE,L18A0048_sperm,TRUE,L18A0048m,20180710,
B1,L18A0049,Treatment,F,FALSE,NA,NA,NA,14:40,TRUE,normal,L18A0049g,FALSE,NA,TRUE,L18A0049m,20180710,
B1,L18A0050,Treatment,F,FALSE,NA,EF01_B1,10:08,13:12,TRUE,normal,L18A0050g,TRUE,L18A0050_eggs,TRUE,L18A0050m,20180710,
B1,L18A0051,Treatment,M,FALSE,inactive,NA,NA,14:05,TRUE,low,L18A0051g,FALSE,NA,TRUE,L18A0051m,20180710,
B1,L18A0052,Treatment,F,NA,NA,CF07_B1,10:48,12:50,TRUE,normal,L18A0052g,TRUE,L18A0052_eggs,TRUE,L18A0052m,20180710,
B1,L18A0053,Treatment,F,TRUE,NA,CF02_B1,10:10,12:33,TRUE,normal,L18A0053g,TRUE,L18A0053_eggs,TRUE,L18A0053m,20180710,
B1,L18A0054,Treatment,F,FALSE,NA,CF01_B1,10:06,12:22,TRUE,normal,L18A0054g,TRUE,L18A0054_eggs,TRUE,L18A0054m,20180710,
B1,L18A0055,Treatment,M,FALSE,inactive,NA,NA,11:50,TRUE,normal,L18A0055g,FALSE,NA,TRUE,L18A0055m,20180710,
B1,L18A0056,Treatment,F,FALSE,NA,NA,NA,14:34,TRUE,normal,L18A0056g,FALSE,NA,TRUE,L18A0056m,20180710,
B1,L18A0057,Treatment,M,FALSE,active,CM03_B1,12:25,14:02,TRUE,low,L18A0057g,TRUE,L18A0057_sperm,TRUE,L18A0057m,20180710,
B1,L18A0058,Treatment,F,FALSE,NA,NA,NA,15:14,TRUE,normal,L18A0058g,FALSE,NA,TRUE,L18A0058m,20180710,
B1,L18A0059,Treatment,M,FALSE,active,EM01_B1,11:27,14:10,TRUE,low,L18A0059g,TRUE,L18A0059_sperm,TRUE,L18A0059m,20180710,
B1,L18A0060,Treatment,F,FALSE,NA,NA,NA,14:41,TRUE,normal,L18A0060g,FALSE,NA,TRUE,L18A0060m,20180710,
B1,L18A0061,Treatment,F,FALSE,NA,NA,NA,14:56,TRUE,normal,L18A0061g,FALSE,NA,TRUE,L18A0061m,20180710,
B1,L18A0062,Treatment,M,FALSE,inactive,NA,NA,15:02,FALSE,NA,NA,FALSE,NA,TRUE,L18A0062m,20180710,
B1,L18A0064,Treatment,M,TRUE,active,CM05_B1,12:38,14:01,TRUE,low,L18A0064g,TRUE,L18A0064_sperm,TRUE,L18A0064m,20180710,
B1,L18A0065,Treatment,F,FALSE,NA,NA,NA,14:00,TRUE,normal,L18A0065g,FALSE,NA,TRUE,L18A0065m,20180710,
B1,L18A0066,Treatment,M,FALSE,inactive,NA,NA,15:14,FALSE,NA,NA,FALSE,NA,TRUE,L18A0066m,20180710,
B1,L18A0067,Treatment,M,FALSE,inactive,NA,NA,14:27,TRUE,normal,L18A0067g,FALSE,NA,TRUE,L18A0067m,20180710,
B1,L18A0068,Treatment,F,FALSE,NA,NA,NA,15:05,FALSE,NA,NA,FALSE,NA,TRUE,L18A0068m,20180710,
B1,L18A0069,Treatment,F,FALSE,NA,NA,NA,12:15,TRUE,normal,L18A0069g,FALSE,NA,TRUE,L18A0069m,20180710,
B1,L18A0070,Treatment,M,FALSE,inactive,NA,NA,14:50,TRUE,normal,L18A0070g,FALSE,NA,TRUE,L18A0070m,20180710,
B1,L18A0071,Treatment,M,TRUE,inactive,NA,NA,15:08,FALSE,NA,NA,FALSE,NA,TRUE,L18A0071m,20180710,
B1,L18A0072,Treatment,F,FALSE,NA,NA,NA,14:45,TRUE,normal,L18A0072g,FALSE,NA,TRUE,L18A0072m,20180710,
B1,L18A0073,Treatment,F,FALSE,NA,NA,NA,14:56,TRUE,normal,L18A0073g,FALSE,NA,TRUE,L18A0073m,20180710,
B1,L18A0074,Treatment,F,FALSE,NA,NA,NA,15:02,FALSE,NA,NA,FALSE,NA,TRUE,L18A0074m,20180710,
B1,L18A0075,Treatment,M,TRUE,inactive,NA,NA,15:10,TRUE,normal,L18A0075g,FALSE,NA,TRUE,L18A0075m,20180710,
B1,L18A0076,Treatment,F,TRUE,NA,CF04_B1,11:03,12:43,TRUE,normal,L18A0076g,TRUE,L18A0076_eggs,TRUE,L18A0076m,20180710,
B1,L18A0077,Treatment,F,TRUE,NA,EF04_B1,10:28,14:07,TRUE,normal,L18A0077g,TRUE,L18A0077_eggs,TRUE,L18A0077m,20180710,
B1,L18A0078,Treatment,M,FALSE,inactive,NA,NA,15:07,TRUE,normal,L18A0078g,FALSE,NA,TRUE,L18A0078m,20180710,
B1,L18A0079,Treatment,M,FALSE,inactive,NA,NA,15:12,TRUE,low,L18A0079g,FALSE,NA,TRUE,L18A0079m,20180710,
B1,L18A0080,Treatment,F,FALSE,NA,NA,NA,14:22,TRUE,normal,L18A0080g,FALSE,NA,TRUE,L18A0080m,20180710,
B1,L18A0063,Treatment,M,FALSE,inactive,NA,NA,14:50,TRUE,normal,L18A0063g,FALSE,NA,TRUE,L18A0063m,20180710,